,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
143,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2007,,LA_logo.webp
144,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2007,,KC_logo.webp
145,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2007,,JAX_logo_old.png
146,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2007,,IND_logo.webp
147,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2007,,HOU_logo.webp
148,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2007,,TEN_logo.webp
149,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2007,,GB_logo.webp
150,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2007,,DET_logo.webp
151,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2007,,DEN_logo.webp
152,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2007,,DAL_logo.webp
153,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2007,,CLE_logo.webp
154,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2007,,CIN_logo.webp
155,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2007,,CHI_logo.webp
156,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2007,,CAR_logo.webp
157,BUF,Buffalo Bills,Bills,AFC,AFC_EASTERN,Buffalo,2007,,BUF_logo.webp
158,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2007,,BAL_logo.webp
159,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2007,,ATL_logo.webp
160,WAS,Washington Redskins,Redskins,NFC,NFC_EASTERN,Washington,2008,,WAS_logo_old.png
161,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2008,,TB_logo_old.png
162,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WESTERN,Seattle,2008,,SEA_logo_old.png
163,SF,San Francisco 49ers,49ers,NFC,NFC_WESTERN,San Francisco,2008,,SF_logo.webp
164,LAC,San Diego Chargers,Chargers,AFC,AFC_WESTERN,San Diego,2008,,LAC_logo.webp
165,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2008,,PIT_logo.webp
166,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WESTERN,Arizona,2008,,ARI_logo.webp
167,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EASTERN,Philadelphia,2008,,PHI_logo.webp
168,NYJ,New York Jets,Jets,AFC,AFC_EASTERN,New York Jets,2008,,NYJ_logo_old.png
169,NYG,New York Giants,Giants,NFC,NFC_EASTERN,New York Giants,2008,,NYG_logo.webp
170,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2008,,NO_logo.webp
171,NE,New England Patriots,Patriots,AFC,AFC_EASTERN,New England,2008,,NE_logo.webp
172,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2008,,MIN_logo.webp
173,MIA,Miami Dolphins,Dolphins,AFC,AFC_EASTERN,Miami,2008,,MIA_logo_old.png
174,LV,Oakland Raiders,Raiders,AFC,AFC_WESTERN,Oakland,2008,,LV_logo.webp
175,LA,St. Louis Rams,Rams,NFC,NFC_WESTERN,St. Louis,2008,,LA_logo.webp
176,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WESTERN,Kansas City,2008,,KC_logo.webp
177,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2008,,JAX_logo_old.png
178,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2008,,IND_logo.webp
179,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2008,,HOU_logo.webp
180,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2008,,TEN_logo.webp
181,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2008,,GB_logo.webp
182,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2008,,DET_logo.webp
183,DEN,Denver Broncos,Broncos,AFC,AFC_WESTERN,Denver,2008,,DEN_logo.webp
184,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EASTERN,Dallas,2008,,DAL_logo.webp
185,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2008,,CLE_logo.webp
